Date,マタハラ,マタニティハラスメント,マタニティ・ハラスメント
13-Sep,96,100,4
14-Oct,55,64,8
15-Jun,43,48,5
15-Nov,41,44,4
19-Dec,41,43,1
14-Dec,37,40,3
15-Mar,33,36,4
14-Nov,23,27,5
15-Apr,24,27,3
15-Sep,24,26,3
15-May,19,23,3
15-Jul,17,21,3
14-Sep,17,20,3
24-Apr,18,19,1
19-Nov,16,18,2
20-Jun,17,18,1
15-Dec,15,17,2
16-Nov,13,17,3
15-Jan,13,16,3
17-Jan,14,16,2
15-Feb,14,15,2
15-Oct,13,15,2
17-Feb,13,15,2
17-Jul,13,15,2
16-Jan,11,14,2
16-Jul,12,14,2
16-Oct,12,14,2
16-Dec,12,14,2
16-Mar,11,13,2
17-Jun,12,13,1
18-May,10,13,3
21-Jan,11,13,1
13-Oct,10,12,2
16-Feb,11,12,2
16-Aug,9,12,3
17-Mar,10,12,2
17-Oct,10,12,1
17-Nov,10,12,2
18-Mar,10,12,2
18-Apr,10,12,2
20-Feb,10,12,1
20-Dec,10,12,1
16-Jun,9,11,2
17-May,9,11,2
17-Dec,9,11,2
18-Jan,9,11,2
19-Jun,9,11,1
20-Jan,9,11,1
22-Jun,9,11,2
22-Jul,9,11,2
22-Sep,10,11,1
24-Mar,9,11,2
24-May,8,11,2
24-Jun,9,11,2
15-Aug,9,10,1
16-Apr,8,10,2
16-Sep,8,10,2
17-Apr,8,10,1
18-Feb,8,10,1
18-Jun,9,10,1
18-Nov,8,10,2
19-Feb,8,10,1
21-Apr,8,10,1
21-May,9,10,1
21-Jun,8,10,2
24-Feb,9,10,1
24-Jul,8,10,2
13-Nov,7,9,1
16-May,8,9,1
17-Aug,7,9,1
17-Sep,7,9,1
18-Jul,8,9,1
18-Oct,8,9,2
19-Jul,8,9,1
20-Mar,8,9,1
20-May,7,9,1
20-Jul,7,9,2
21-Mar,8,9,1
21-Jul,6,9,1
22-Mar,7,9,1
22-Nov,7,9,2
23-Oct,8,9,2
23-Nov,8,9,1
24-Jan,6,9,3
24-Sep,8,9,2
24-Nov,7,9,1
24-Dec,7,9,2
13-Jun,4,8,4
14-Jul,6,8,2
18-Aug,7,8,0
18-Sep,7,8,1
18-Dec,6,8,1
19-Jan,6,8,2
19-Mar,6,8,1
19-May,7,8,1
19-Aug,7,8,2
19-Sep,7,8,1
19-Oct,7,8,0
20-Sep,6,8,1
20-Nov,6,8,1
21-Feb,7,8,1
21-Sep,6,8,1
21-Oct,6,8,2
21-Nov,6,8,1
22-Apr,6,8,1
22-May,6,8,2
22-Oct,7,8,1
22-Dec,6,8,2
23-Jan,7,8,1
23-Feb,6,8,1
23-Apr,7,8,1
23-May,6,8,1
23-Jun,6,8,1
23-Jul,7,8,1
23-Sep,7,8,1
23-Dec,7,8,2
24-Aug,8,8,1
24-Oct,7,8,1
25-Jan,7,8,2
25-Feb,7,8,2
25-Jun,7,8,1
25-Jul,6,8,1
25-Sep,6,8,2
13-May,3,7,3
14-Feb,5,7,1
14-Jun,5,7,2
20-Aug,6,7,1
20-Oct,6,7,1
21-Aug,5,7,1
22-Jan,6,7,1
22-Feb,6,7,1
22-Aug,6,7,1
23-Mar,6,7,1
23-Aug,6,7,0
25-Mar,6,7,1
25-Apr,6,7,2
19-Apr,5,6,0
21-Dec,5,6,1
25-May,5,6,1
25-Aug,5,6,1
13-Jul,3,5,2
13-Aug,3,5,2
13-Dec,3,5,1
14-Jan,4,5,1
14-Mar,3,5,0
14-Aug,4,5,0
20-Apr,4,5,1
14-May,3,4,1
14-Apr,2,3,0
10-Jan,0,0,0
10-Feb,0,0,0
10-Mar,0,0,0
10-Apr,0,0,0
10-May,0,0,0
10-Jun,0,0,0
10-Jul,0,0,0
10-Aug,0,0,0
10-Sep,0,0,0
10-Oct,0,0,0
10-Nov,0,0,0
10-Dec,0,0,0
11-Jan,0,0,0
11-Feb,0,0,0
11-Mar,0,0,0
11-Apr,0,0,0
11-May,0,0,0
11-Jun,0,0,0
11-Jul,0,0,0
11-Aug,0,0,0
11-Sep,0,0,0
11-Oct,0,0,0
11-Nov,0,0,0
11-Dec,0,0,0
12-Jan,0,0,0
12-Feb,0,0,0
12-Mar,0,0,0
12-Apr,0,0,0
12-May,0,0,0
12-Jun,0,0,0
12-Jul,0,0,0
12-Aug,0,0,0
12-Sep,0,0,0
12-Oct,0,0,0
12-Nov,0,0,0
12-Dec,0,0,0
13-Jan,0,0,0
13-Feb,0,0,0
13-Mar,0,0,0
13-Apr,0,0,0
